dim,num_covariate_features,regularization,time_limit,n_train,n_test,holdout_percent,kernel_degree,kernel_noise,num_lambda,num_alpha,trial,best_lambda_SPOplus,best_alpha_SPOplus,spo_loss_SPOplus,least_square_loss_SPOplus,cal_avg_gap_SPOplus,cal_num_of_inf_or_unbd_SPOplus,best_lambda_LSE,best_alpha_LSE,spo_loss_LSE,least_square_loss_LSE,cal_avg_gap_LSE,cal_num_of_inf_or_unbd_LSE,best_lambda_SPOplus_LSE,best_alpha_SPOplus_LSE,spo_loss_SPOplusLSE,least_square_loss_SPOplusLSE,cal_avg_gap_SPOplus_LSE,cal_num_of_inf_or_unbd_SPOplus_LSE
5,5,lasso,120,100,10000,0.25,2,0,10,10,1,0.009999999999999978,,0.06217148971354343,789.9996813745325,0.0,0,3.98107170553497e-05,,13.225471110997544,4309.795246838834,20.0,0,0.009999999999999978,1.0000000000000004e-06,0.062439225056039,5863.643655328539,10.0,0
5,5,lasso,120,100,10000,0.25,2,0,10,10,2,1.0000000000000004e-06,,0.14298355785570238,897.9351979662911,0.0,0,1.0000000000000004e-06,,15.935310733297001,2598.6030159564957,10.0,0,1.0000000000000004e-06,1.0000000000000004e-06,0.35046748952825146,3682.590861473761,50.0,0
5,5,lasso,120,100,10000,0.25,2,0,10,10,3,0.009999999999999978,,0.12944151527889622,873.8313474685687,0.0,0,6.309573444801932e-06,,13.46561548869158,5098.760268731136,10.0,0,0.009999999999999978,1.0000000000000004e-06,0.12944151527889622,6953.182580761329,20.0,0
5,5,lasso,120,100,10000,0.25,2,0,10,10,4,0.06309573444801915,,0.12275521815707326,815.3527309518314,0.0,0,6.309573444801932e-06,,13.378699047478632,4619.082505577437,10.0,0,0.06309573444801915,1.0000000000000004e-06,0.12275521815707326,6819.550357294292,0.0,0
5,5,lasso,120,100,10000,0.25,2,0.5,10,10,0,0.009999999999999978,,7.858854743542467,1023.8024038800103,0.0,0,3.98107170553497e-05,,19.89295529006847,10859.325916332555,20.0,0,0.009999999999999978,1.0000000000000004e-06,7.858076924248875,14699.954703699166,20.0,0
5,5,lasso,120,100,10000,0.25,2,0.5,10,10,1,0.06309573444801915,,8.441629381262521,1224.259234291759,0.0,0,1.0000000000000004e-06,,20.249345966530775,2739.031343229866,10.0,0,0.06309573444801915,1.0000000000000004e-06,8.453065021379345,9250.985383911046,30.0,0
5,5,lasso,120,100,10000,0.25,2,0.5,10,10,2,0.06309573444801915,,7.098267072606845,1139.0900684218034,0.0,0,3.98107170553497e-05,,20.765188508946764,9791.876393373746,20.0,0,0.06309573444801915,3.98107170553497e-05,7.0979117902468545,14794.075270513815,10.0,0
5,5,lasso,120,100,10000,0.25,2,0.5,10,10,3,1.0000000000000004e-06,,7.920263955376583,3197.583831717465,0.0,0,1.0000000000000004e-06,,20.348766496722135,2756.2920864124812,20.0,0,1.0000000000000004e-06,1.0000000000000004e-06,7.920263955376583,7057.246770961346,40.0,0
5,5,lasso,120,100,10000,0.25,2,0.5,10,10,4,0.06309573444801915,,8.003884675049768,1393.734795901592,0.0,0,3.98107170553497e-05,,19.584768702815957,8784.653003941496,20.0,0,0.06309573444801915,1.0000000000000004e-06,7.999735368604524,11771.081685037483,10.0,0
5,5,lasso,120,100,10000,0.25,4,0,10,10,0,0.009999999999999978,,11.015651937228332,480015.4388108204,0.0,0,0.00025118864315095774,,247.6885986996826,2200506.697473574,30.0,0,0.009999999999999978,3.98107170553497e-05,9.175027925179265,2287020.7706830665,40.0,0
5,5,lasso,120,100,10000,0.25,4,0,10,10,1,0.0015848931924611108,,9.527823452717868,1276979.2730213855,0.0,0,0.0015848931924611108,,198.97414206125507,4278344.306540687,30.0,0,0.0015848931924611108,1.0000000000000004e-06,9.263352705238049,6754973.230707522,40.0,0
5,5,lasso,120,100,10000,0.25,4,0,10,10,2,0.009999999999999978,,6.1460037771481835,379687.0676207671,0.0,0,0.00025118864315095774,,279.2947233269731,1944495.7203533505,30.0,0,0.009999999999999978,1.0000000000000004e-06,6.056684618264343,2712093.6190245776,30.0,0
5,5,lasso,120,100,10000,0.25,4,0,10,10,3,0.009999999999999978,,9.520061003827289,678409.9145018137,0.0,0,1.0000000000000004e-06,,222.82785814137435,90437115944128.44,20.0,0,0.009999999999999978,1.0000000000000004e-06,10.061402642025113,10667453.58678494,30.0,0
5,5,lasso,120,100,10000,0.25,4,0,10,10,4,1.0000000000000004e-06,,8.712692932762629,263275.223373413,0.0,0,0.00025118864315095774,,226.08721514436462,3117483.0073559983,30.0,0,1.0000000000000004e-06,1.0000000000000004e-06,9.659823810114426,2834355.948634665,60.0,0
5,5,lasso,120,100,10000,0.25,4,0.5,10,10,0,0.06309573444801915,,49.8958088030439,412027.32967095537,0.0,0,1.0000000000000004e-06,,277.19181506436325,1600595633077.2307,30.0,0,0.06309573444801915,0.0015848931924611108,71.115102740897,7252269.703348955,30.0,0
5,5,lasso,120,100,10000,0.25,4,0.5,10,10,1,0.06309573444801915,,47.849121081188905,434525.0536893159,0.0,0,0.0015848931924611108,,270.8413192693056,4334016.760752532,30.0,0,0.06309573444801915,0.009999999999999978,73.10046326900999,3841791.2153183892,30.0,0
5,5,lasso,120,100,10000,0.25,4,0.5,10,10,2,0.00025118864315095774,,57.280934613093336,2665939.108800971,0.0,0,0.0015848931924611108,,298.9525856298803,7251606.57767966,40.0,0,0.00025118864315095774,6.309573444801932e-06,57.075450506979344,8830069.0399897,40.0,0
