dim,num_covariate_features,regularization,time_limit,n_train,n_test,holdout_percent,kernel_degree,kernel_noise,num_lambda,num_alpha,trial,best_lambda_SPOplus,best_alpha_SPOplus,spo_loss_SPOplus,least_square_loss_SPOplus,cal_avg_gap_SPOplus,cal_num_of_inf_or_unbd_SPOplus,best_lambda_LSE,best_alpha_LSE,spo_loss_LSE,least_square_loss_LSE,cal_avg_gap_LSE,cal_num_of_inf_or_unbd_LSE,best_lambda_SPOplus_LSE,best_alpha_SPOplus_LSE,spo_loss_SPOplusLSE,least_square_loss_SPOplusLSE,cal_avg_gap_SPOplus_LSE,cal_num_of_inf_or_unbd_SPOplus_LSE,z_star_sum_test
5,5,lasso,60,100,10000,0.25,4,0,10,10,0,0.0015848931924611108,,8.101782305578823,1037758.1492616144,0.0,0,1.0000000000000004e-06,,14.554718529516414,40565.75401467869,0.0,0,0.0015848931924611108,0.0015848931924611108,5.768292836974067,45023.574685914304,0.0,0,5884085.254720604
5,5,lasso,60,100,10000,0.25,4,0,10,10,1,0.0,,9.97718190036484,5400106.477930769,0.0,0,1.0000000000000004e-06,,17.208867226697972,53807.739872958904,0.0,0,0.0,0.0015848931924611108,7.197187944182832,55620.52093285177,0.0,0,5787485.426961787
5,5,lasso,60,100,10000,0.25,4,0,10,10,2,1.0000000000000004e-06,,9.636825034355322,496363.7762024627,0.0,0,1.0000000000000004e-06,,17.72188378966255,47835.99570709296,0.0,0,1.0000000000000004e-06,0.0015848931924611108,7.794812419984503,50845.45193517854,0.0,0,5673857.925529197
5,5,lasso,60,100,10000,0.25,4,0,10,10,3,1.0000000000000004e-06,,10.960217061489852,1102118.7624526627,0.0,0,1.0000000000000004e-06,,15.176771144641759,54873.676000878775,0.0,0,1.0000000000000004e-06,0.0,10.960217061489852,1102118.7624526627,0.0,0,5899540.367204291
5,5,lasso,60,100,10000,0.25,4,0,10,10,4,0.009999999999999978,,9.651070098170857,512704.95121087343,0.0,0,1.0000000000000004e-06,,16.934694816085052,30292.270653718326,0.0,0,0.009999999999999978,1.0000000000000004e-06,9.651070098170857,100906.97682036822,0.0,0,5659340.232832294
5,5,lasso,60,100,10000,0.25,4,0.5,10,10,0,0.06309573444801915,,54.48581664607932,339646.8744966143,0.0,0,1.0000000000000004e-06,,46.5955342761353,91519.55789715004,0.0,0,0.06309573444801915,1.0000000000000004e-06,54.48581664607932,213633.76136933264,0.0,0,5356658.744298641
5,5,lasso,60,100,10000,0.25,4,0.5,10,10,1,0.009999999999999978,,51.55786303902976,643744.3514041865,0.0,0,0.3981071705534959,,50.25063272710293,104983.0554721609,0.0,0,0.009999999999999978,0.0015848931924611108,46.015620379910246,110162.02146554425,0.0,0,5490062.5192128755
5,5,lasso,60,100,10000,0.25,4,0.5,10,10,2,0.009999999999999978,,48.893905356588014,374719.4656481616,0.0,0,1.0000000000000004e-06,,53.31752002493038,91149.81044425214,0.0,0,0.009999999999999978,0.06309573444801915,49.220299856483585,91022.5004395956,0.0,0,5174695.224360208
5,5,lasso,60,100,10000,0.25,4,0.5,10,10,3,0.0015848931924611108,,53.061595561516306,1621944.6394031981,0.0,0,1.0000000000000004e-06,,57.529482522519665,87789.41689025609,0.0,0,0.0015848931924611108,0.009999999999999978,49.761282012696654,87865.95470231879,0.0,0,5367054.71976958
5,5,lasso,60,100,10000,0.25,4,0.5,10,10,4,0.009999999999999978,,53.81580652777737,301546.9358703493,0.0,0,1.0000000000000004e-06,,56.15721144060396,93234.75617627548,0.0,0,0.009999999999999978,0.0,53.81580652777737,301546.9358703493,0.0,0,5813765.258254266
5,5,lasso,60,100,10000,0.25,6,0,10,10,0,0.009999999999999978,,293.34370201150284,573669133.3195783,0.0,0,1.0000000000000004e-06,,450.62002349555735,45709838.82393851,0.0,0,0.009999999999999978,1.0000000000000004e-06,286.29210696986456,149158455.50108778,0.0,0,61501353.298189655
5,5,lasso,60,100,10000,0.25,6,0,10,10,1,0.0,,347.7861490128256,18536788201.636044,0.0,0,1.0000000000000004e-06,,574.0023091091997,55510039.85603103,0.0,0,0.0,0.00025118864315095774,234.94182230546596,55148054.85525175,0.0,0,61654655.091535494
5,5,lasso,60,100,10000,0.25,6,0,10,10,2,1.0000000000000004e-06,,552.011527225895,99930955517.95819,0.0,0,1.0000000000000004e-06,,793.0152025378284,74659238.77667135,0.0,0,1.0000000000000004e-06,6.309573444801932e-06,344.16499043644114,82490044.55949719,0.0,0,67666751.66621444
5,5,lasso,60,100,10000,0.25,6,0,10,10,3,0.06309573444801915,,514.9784125182844,2152451055.0174637,0.0,0,1.0000000000000004e-06,,791.7132811210603,55031571.77326149,0.0,0,0.06309573444801915,0.0,514.9784125182844,2152451055.0174637,0.0,0,62451970.068764284
5,5,lasso,60,100,10000,0.25,6,0,10,10,4,0.06309573444801915,,376.6821234032025,234684408.30049595,0.0,0,1.0000000000000004e-06,,825.3597189168275,65691703.38167045,0.0,0,0.06309573444801915,1.0000000000000004e-06,382.2289138695126,108188489.09245385,0.0,0,62168296.47824172
